kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
a,ah,-,"keto hae qumau-qau'i o hada, ah, dia lagi akan membohongi kera"
aa,dalam,ari - mbotingu,dari dalam keranjang - laika dalam rumah
aa,"sungai, kali",opioiwoi wose petuhari'i hende - mowewe,berapa kali besar yang bermuara seperti sungai rowewe
aa,pinggang,- no monga,pinggangnya langsing
aabola,kamar perahu,mbewiso doeke i - tetebua ikuno,tikus yang masuk di kamar perahu kelihatan ekornya
aahua,sumur,ano inau petuha butu sala i -,dia pergi turun menuju jalan ke sumur
aahuano,sumurnya,mbemaroi i - rondembelaa mbendudu kuluri mbebaho,ramai sumurnya burung nuri turun mandi
aalaa,sungai,no ponggi o ruo tolu pu'u nggasu i wiwi -,dia melihat dua tiga pohon kayu di tepi sungai
aalahambuti,aalahambuti,aalee tinamoako -,sehingga dinamakan Aalahambuti
aalepa,bakul,anorurui umulambendua'i i -,"dia pungut, dia isi kembali di bakul"
aandembe,pelimbahan,andi-andino motonda ine tembe (i -),antingantingnya jatuh ke pelimbahan
aandoolo,hutan belantara,sabutuno mengaruhi dungguito i - motu'o,tepat magrib sampailah di hutan belantara
aanggalo,lembah,o pitu - tinawunino,tujuh lembah yang ditimbunnya
aangineke,sumur,i -,di sumur
aarano,bencah,- hende-hendeikaa wuta menggedo,tanah bencah atau tanah berlumpur
"aasaki, aasakindahi seberang",laut,laa iropo nggo dunggu mengapa inggapano mokele i -,mereka akan sampai berlabuh di pelabuhan raja di seberang laut
agama,agama,iso-iso tembono leu -,dahulu waktu datang agama
aha,besar,pe'eka i laika -,naik di rumah besar
aha,tengkorak,anopekali'ako uluno anopundusaki wala'ako te-,
ahu,asap,mendoda ako - apino ari mondae,jelas sekali asap apinya dari jauh
ahua,sumur,moia meena i woino nggineke,air sumur jernih sekali
"ahupio, umahupio",menimba,i bio iwoi,Bio menimba air
ai,engkau,- oolu'aku akupowisopo leesu ine rapi,"engkau tunggu saya, saya masuk dahulu ke dalam kamar"
aimbelako,engkau sekalian pergi,- kumiki'i nggiro'o ranoa,kamu sekalian pergi melihat semangka itu
ai,kalian,kei dunggu i raha - ponahu,"kalau kalian sampai di rumah, kalian memasak"
ai,kamu,- amba umale'ekee,kamu akan mengambilkan
aioru,kamu segera,saa menggano mbe'aru - mbe'ina'u,"seketika fajar menyingsing, engkau segera ke sana"
ai,supaya anda,- petuha,supaya Anda turun
akala,akal,tomboowai - ndawa,kita membuat akal sobat
aki,kami,- leu mokowaliko rumuru'i,kami datang membantumu memungut
aku,saya,no anggo kumaa -,dia akan makan saya
ale,ambil,ano - nggiro'ono o ika,"dia ambil ikan itu, alee mengambil, ano ene pe'eka"
umale'ikee,ambilkan,iamo - kinano,jangan ambilkan makanannya
aleikee,ambilkan,- pekano ano lako kumabi,"ambilkan pancing besarnya, dia akan pergi memancing"
aleito,ambilkan,maa - anooru mbule,"ya, ambillah supaya dia cepat pulang"
umalei-alei,membela,inae - ana dalo mekulero nggiro'o siapa yang membela anak yang berkelahi itu?,
poalo-alo,pembela,iee metunuako tumotondai onggono,ia pejuang pembela kebenaran
aleuti,nama kampung,-,"sambeani, hongoa, ronga aului, Aleuti, Sambeani, Hongoa, dengan Aului"
alo,bantu,mbekaalo - ako,bantumembantu
"alu, aluno",penumbuknya,ku'onggo lako monduekee - nainamu,saya akan pergi memotongkan penumbuk tantemu
amamu,bapakmu,kikii'ipo - botu'ito tiano,lihatlah bapakmu sudah meletus perutnya
amanggu,bapakku,no'oliwi'aku i,
amano,ayahnya,no oolui - i menunggu ayahnya,
"amba, anoamba",kemudian,- lako hada nggiro'o,kemudian kera it pergi
ambahi,tikar,- ronga paalua nosot i ina,tikar dan bantal di jahit ib
mo'ana-ana,bau anak,inae - i ke ni i poturua,bau anak siapa di tempat tidur sini?
anai'uhu,anak bungsu,ieto ona taataa laa sarunggano,dialah anak bungsu yang tidak ada baju topengnya
ana,"ruo anak kembar, nggiro'o meambo, anak kembar itu baik",anakoda nokada; kuonggo mo'olikee - inea,"akan saya datang membelikan pinang untuk nakoda; anadalo anak-anak bayi, laeto pelua'ako obeli tewindanoto - sedang darah keluar, lahirlah bayi; anando anak kita, nopesarapukee - i wuta Sina, dipertunangkan anak kita di tanah Cina"
pe'ana,"beranak, bersalin",inae -.i wingi,"siapa bersalin tadi malam? pe'anakee melahirkan, memperanakkan; inge - nggiro'o, siapa yang melahirkan itu?"
anabangga,biduk,- nggiroo ari ito inindio,biduk itu sudah selesai dikerjakan
mebangga,berbiduk,anadalo ngiro'o - butu i Lae-lae,anak itu berbiduk ke Lae-lae
ana,mohewu bocah,ana dalo nggiro'o laipo -,anak itu masih bocah
anahoma,belukar,- toro morome i pamba aalaa,hutan belukar tumbuh dengan suburnya di pinggir sungai
anamotuo,orang tua,footo nonio no,sudah tidak ada orang tuanya
anandonia,pemuda,foono nggiro'o monggii - laalako i kambo,orang itu melihat pemuda yang pergi ke kampung
anandumungge,layang-layang rumah,lakonoto i Oheo momone -,lalu Oheo memanjat di layang-layang
snanggomba,bayi,- laa laa ne bue mate,bayi yang ada di ayunan meninggal
lanawai,bidadari,i wowono-kuri ndomumu dange wulaa,"(nama buah-buahan), konon dia adalah bidadari di puncak pohon dangge emas"
anawula,bintang,telate - i lahuene,bertaburan bintang di langit
asorupa,sebintang,i Amin ronga i Ati hende-hendeno -,Amin dan Ati rupanya sebintang
pokondau,tekono ne ana wul,perbintangan; mewula batuano perbintangan artinya ilmu bintan,
andi-andi,anting-anting,ana dalo ni ino mombake - wulaa,anak in memakai anting-anting emas
andonga,"pusat, tengah",i - inimo,d tengah kebun
angga,sibuk,la'iroto - anotebua i Tolohoru membesui-sui,"sementara mereka sibuk, muncullah Tolohoru bersiul-siul"
"aniko, me'amiko saya",tarik kam,- peeka iwawondobi,saya tarik
ano,dia,Iyeto aalaano konawe'oha - molinde,itulah sebabnya sungai Konawe menjadi dalam
anoamba,lalu,- i Tolohoru mombeopeonasa,lalu Tolohoru merasakan
ano,nanti,mbiha-mbiha - inano ehe,jangan-jangan nanti ibunya mau
ano,sebabnya,"ieto - petamo mate' ako ""Langgaimoriana",""" itulah sebabnya diberi nama tetap ""Langgaimoriana"""
ano,hanya,- aso lawato tawano,hanya satu lembar daunnya
lano,kemudian,- mendiaona,kemudian ia pun hamillah
anoamba,kemudian,- leu tumunu'ike,kemudian dia datang membakarnya
ano,kenapa,- laa hende neino mendaa nolumele,kenapa ada seperti ini panjangnya menjalar?
anoleu,datang,laito tekura - o la sementara putus asa,datang lal
ao,"aur, bambu",laa nggo pendamok i une - i kirotokaa anotekai,"ak dimaksukaan ke dalam aur, di tulah ia tertangkap atau terkuru"
api,api,anoinau mekalikee iton lea -,dia ke sana membuang tengah nyala api
apu,raja,ro onggo ene wowa'iro no ro laa meohaki,mereka ak ke sana untuk mengobati rajan
"ara, araarai",coba-cobalah,- ku,
a,"wowaikomami Tolohoru, cob",cobalah obati kami Toloharu,
ari,"sudah, telah",inggani - kumii kanotauhano,kami sudah melihat kepandaiannya
ariito,sudah,- inukuru kinaamu,makananmu sudah diukur
ariito,dia sudah,- monduka 'ako,dia sudah mendaki gunung
ari-ari,yang telah,luwuako toono - tineeniakonggu leu tumulungiaku,semua sanak saudara yang telah saya undang datang menolongku
pokoari-ari,menyembuhkan,keu - aku ku poweko ananggu,"kalau kau menyembuhkan saya, saya berikan anakku"
asa,siak,imbe lako ano - nggu,pergi ke mana siakku
asaki,seberang,i ngapano mokele i ndahi,di pelabuhan raja di seberang lautan
asala,asal,mano metunggo - no meambo,"biar mahal, asal bagus"
"asi, pe'asikee",menyelipkan,no - i lolu nggasoro,dia menyelipkan di bawah kasur
aso-aso,satu-satu,ikirotokaa aro ambambeengaa - itoono,di situ saja mereka mengamuk satu-satu
asombole,sepucuk,- mariano,sepucuk meriamnya
asobanggona,satu kelompok,- fii,
atahakonggu,budak-budak,i wa-,
ate,wue paru-paru,- no toono nggiroo kamba,paru-paru orang itu bengkak
atooru,kita segera,ngapanoto mokele i Aasakindahi - meopolaha nggo pelaika'ando,"pelabuhan raja di seberang laut, kita segera mencari untuk membuat rumah kita"
atoto,kita akan,"keto totandamua ""- mbenderumba","kita akan berangkat, lalu kita berjatuhan"
atawa,atau,pokosiikee ruo - tolu,simpanlah dua atau tiga
au,supaya kamu,- lakotokaa,"supaya kamu saja yang pergi, au mowohu supaya kenyang, ponggaato -, makanlah supaya kenyang, au ronga supaya dengan; - pepusu moro-mororo, supaya dengan menutup mata kuat-kuat; au aro supaya engkau cepat; maa ale'ito - mbule, ya ambillah supaya engkau cepat pulang"
auti,nama kampung,iyeto ano tinamoako -,"itulah sebabnya dinamakan Auti (tempat berbiawak moako -, itulah sebabnya dinamakan Auti (tempat berbiawak)"
"baba, babai gendong",dengan sarung,leu umalei - mbele'esu,"datang mengambil, gendong dengan sarung lebih dahulu"
"bada, o bada",bedak,mosiu-siu mbuupu'u - nggiro'o,"harum sekali bedak itu, mbebada berbedak"
mo'oru-oru,"ihiro -, pagi-pagi mereka berbedak, mebada berbedak",momahemoki keu ari - laule,"note'eni ana ndonia, "" Alangkah cantik gadis itu kalau sudah berbedak,"" kata anak muda"
badai,membedaki,iee - anano,", dia membedaki anaknya; mokobebadai membedakkan; mesi-mesidato - anano i ano, rajinrajinlah membedakkan anak ani"
page,tingkah,dadio osi itoomu mu,cukup banyak juga tingkahmu
bageno,tingkah lakunya,dadio' itokaa nggiro'o ana dalo - ban-,
bage,bagei diganggu,iamoto lako -,janganlah pergi diganggu
baguli,kelereng,o pitu - nggu,kelerengku tujuh
"baho, bahoi",mandikan,lako mo'alo iwoi ano leu -,pergi mengambil air dan datanglah memandikannya
mebaho,mandi,no tiro laa ana dalo -,dia lihat ada anak-anak mandi; mebaho-baho mandi-mandi; luale nggiro'o - gadis itu mandi-mandi
baiasa,mertua,motuo ito - nggu,sudah tua mertuaku
baki,keranjang,ne -,di keranjang
bakilandaka,keranjang tapisan sagu,au leu mo'ana - auronga poloo,engkau datang menganyam keranjang tapisan sagu dan membuat tali
bakuru,burung tekukur,iee mooho - iainimo,dia menjerat burung tekukur di kebun
balanda,belanja,- no i ina ingani oleo rua sowu ikaa rupia,belanja Ibu hari ini hanya dua ribu-rupiah
balandaku,membelanjakan,iee hapo-hapono ine sala meambo,ia membelanjakan hartanya di jalan yang baik
balandaii,membalanjai,iee taetadeno ikaa - anano,ia tetap membelanjai anaknya
balandaano,perbelanjaannya,iee tumitirii - ia menghemat perbelanjaannya,
balandete,Belandete (nama kampung),tamono -,namanya Balandete
"balasi, mobalasi",membalas,no tidu aku lakongguto -,"dia tinju saya, lalu saya membalas"
balatu,belacu,kai - meamboniowai paalua,kain belacu baik dibuat bantal
palipo,bolehlah,- auina''u inggoo mokosio,bolelah engkau ke sana
palipo,lebih baik,- inggomiu,lebih baik Tuan
balitokaa,biarlah,oruo toono mate,biarlah dua orang yang meninggal
"balulu, mombalulu",menggulung,tebua - ambahi i bio,Bio muncul menggulung tikar
"bana'api, mbana'api",senjata,saponggi'ino o donga lakonoto batukei no,"begitu dia lihat rusa, lalu dia letuskan senjatanya"
bandera,bendera,no kapala nggiro'o tehila ito,"bendera kapal itu sudah robek; mebandera berbendera; nggiro'o kapala - walanda, kapal itu berbendera Belanda"
bandu,Bandung,inaku lako i - meronga i pue,saya pergi ke Bandung dengan nenek
para,agaknya,noponggito - toenganggopomua'ano,agaknya dia telah melihat sangkat tenggerannya
bara,angin barat,- melaandee,angin barat berhenti
bara,bahwa,bawono - haino ariito kawi,kabarnya bahwa adiknya telah kawin
barahala,berhala,toono nggiro'o mesomba -,orang itu menyembah berhala
baralia,berlian,ieto basano paramata motunggo mbuupuu olino,berlian adalah sejenis permata sangat mahal harganya
barua,beruang,pewiso kolele mosoko,beruang termasuk binatang buas
bato,ekor,ihiro mooli hapulo - o manu,mereka membeli sepuluh ekor ayam
"batua, batuano",artinya,- pekolo'aro Imba,mereka menggendong Imba
bau,babu blus,- nggiro'o wuohupo no olii i ina,blus itu dibeli oleh ibu
bawahako,rombongan,- o hada,rombongan kera
"bea, mobea",berat,olawu nggiro'o sawatuu,besi itu sangat berat
mbokomobea,memberatkan,iamo,
mombokombea,memberati,iamo u - supeda nggiro'o,jangan engkau memberati sepeda itu
mokomobeai,memperberat,nopoko - ikee indiono ana guruno,ia memperberat pekerjaan terhadap anak didiknya
beenge,bingung,no - laai pinesuko ako pasipole nggiro'o,bingung ketika ditanyai hal itu
beka,kucing,- nggu koro ehe lako,kucingku tidak mau pergi
beke,babi,kaduito o woseno nggiroo o -,cukup besar bagi iti
"bele, o bele",belek,- doee nggiro'o meia iano,belek kosong itu nya-
darah,"yang keluar tidak henti-hentinya, membeli berdarah",i kirotokaa ano -,
pada,"saat itu lengasung berdarah, belino darahnya",laula sani sumusuki'i laaano - gadis sani menahankan darahnya,
belo,(= welo) mewaheako membelok,obangga nggiro'o - i hana,"perahu itu membelok ke kanan; akupobelobeloako saya buatkan hiasan; - wua kareno ronga wua kaeno, saya buatkan hiasan jar kaki dan jari tangannya"
bembela,biri-biri,- nggiro'o laa mangga o kura,biri-biri itu sementara makan rumput
benda,kurang,kioki no -,tidak kurang
bendiro,membentangi,inggito ato lala iee - sorodadu nggiro'o,kita tetap membentengi prajurit itu
benggeleno,perbengkelan,- pak amin menggauito tinunu,perbengkelan Pak Amin sudah lama ditutup
benggolo,benggol,- ieto doi tambaga,benggol adalah uang tembaga
"benu, o benu",sabut,- ronga oulo notunui hainggu,sabut dan tempurung dibakar adikku
bepa,kue,opu ito ku maae - no,sudah habis kumakan kuenya
bree,bren,- nggiro'o kadui mobeano,senjata bren itu cukup berat
bero,tahi mata,laa waawa - mu,ada mengalir tahi matamu
besitele,bestel,no po - pakea aso pasa,ia bestel pakaian satu pasang
bros,bros,- no ana dalo nggiro'o o limo gra,bros anak itu lima gram
biasano,biasanya,- tonomotuo momboweehi pokondau ine anano,biasanya orang tua memberi nasihat kepada anaknya
mokobiasai,membiasakan,ato poko biasa iki dowondo merare leu i kandoro,kita harus membiasakan diri cepat datang ke kantor
kabiasano,kebiasaan,kabiasaanggu monggaa aku amba butu i kandoro,"kebiasaan saya makan, baru ke kantor"
pjasa,mertua,iamoto - imasusa,janganlah mertua bersusah
"biari, membiari",menangis,no podea ito anano laa -,sudah dia dengar anaknya sedang menangis
"bibii, anobibii bunyi",berdesing,pihambiha - uwato,tiba-tiba bunyi ulat sagu berdesing
"bibilole, bibilolenoikaa berputar-putar","satu arah, - enepewiso i mu",mundumungge,berputar-putar satu arah dan masuk di layanglayang rumah
"bilaa, aso bilaa",sebilangan,- dadiono doino no naai ine lasi meda,sebilangan banyaknya uang disimpan dalam laci meja
bilala,bilal,- laa ito baa i masisi ine magaribi,bilal sudah azan di mesjid pada waktu magrib
"bili, mobili",memburu,luwuako to' ono lumoloya keno la -,semua orang berlari kalau berburu
bilo-bilg,uberudu,- nggiro'o hende ana ika laipo mohewu,berudu itu seperti anak ikan yang masih kecil
bindai,lepaskan,aro leu teposuanggeito - koauno,"mereka datang menemui kita melepaskan rindunya; tehinda terlepas; dagai inono manu-manu iamo no -, jagalah burung ini jangan sampai terlepas"
bindambenduai,dan dilepaskan kembali,ano 'alee nggiro'ono o ika ano - i aiwoi,dia ambil ikan itu
"biri, o biri",tengkuk,wulu mbuu -,bulu-bulu tengkuk
iri-biri,biri-biri,- nggiro'o laa monggaa o kura,biri-biri itu sementara makan rumput
"isa, doabisa mantra",penangkal gunaguna,anosalawa mbule -,"mbosule, dia membaca mantra penangkal guna-guna"
isikoi,biskuit,no laa mongga -,dia sedang makan biskuit
isiko,baru rasa,- le'esu kulanggi teeninggoo,baru rasa memang saya sudah memberitahukan
itara,bicara,iamo - i keni,jangan bicara di sini
"iti, mobiti",berbenteh,i bio ronga i batulu -,Bio dan Batulu berbantah
itolo,botol,- nggiro'o pono ako i woi ininu,botol itu penuh air minum
boi-boiku,mata kaki,wua mun ronga - no elano,betis dan ma kaki iparnya
bokeo,buaya,- nggiro'o moral oaso odahu,buaya itu menangk seekor anjing
boku-boku,betis,sabutuno sakc wua mundero,persis sampai be buah jeruk mereka
"boli-boli, boliboliaepo",seolah-olah,keno laa'itooro amaro,seolah-ol mereka juga berbapak
bolio,ubah,eheakuki mano au - te tademu,saya mau asalkan engk ubah tabiatmu
bondala,peti,no poindii - no lak noto gomundii,dia memegang | tinya kemudian menguncinya
bone,daerah Bone,maatolako anaku i -,"anakku, marilah ki pergi ke Bone"
bone,sana,imbone,di sana; i bio Bio di sana
bongo,kental,- dahu,kental sek
bonggo,beku,- o luwi nggiro'o i mo'oruoru,minyak itu beku pa
a,moboro memborong,i ama - lu wuako kaluku pine oliako i dao ayah memborong semua kelap,
yang,"dijual di pasar, pineboroako borongan",hapo--,
oso,kandang,i une -,di dalam kandang
oti,bintik,raino - ako sahua,mukanya berbintik penuh jerawat
peboti-boti,berbintik-bintik,anino -,kulitnya berbintik-bintik
boto,biji,aso - ndarahi wuano,satu biji buahnya
boto,buah,aipowe'aku teaso -,supaya engkau berikan satu buah
bota,tengah,i - no i laika tebuambenderumba,di tengah rumah mereka muncul dan jatuh
"boto, meboto",berjudi,iamoto - i keni,janganlah berjudi di sini
botoanoikaa,dari perjudiannya,pewua'ito aso-aso -,sudah berbuah satu-satu dari perjudiannya
"boto, teboto'ito sudah",terbentuk,- nggiro'o laika,sudah terbentuk rumah itu
otu,"meledak, bunyi",- mosisiri resa kumono'i,bunyi senapan seperti bunyi yang mengenai sasaran
bubu,tebu hutan,leumingu tesambe lae - ari sinulahi wuohu,datanglah di sana tersangkut pada rumpun tebu hutan yang baru dipotong
"bubu, bubito",terbakarlah,- owuta puasa,terbakarlah negara Puasa (Pasi)
"yubuti, bubuti mencabuti",bulunya,lakonoto i Tolohoru - anotunui,langsung Tolohoru mencabuti bulunya dan membakarnya
anopobuka,dia membuka,- pon bahora,dia membuka kebun
"buki, o buki",bisu,ana dalo nggiro - ronga mobongo,anak itu bis
buku,buku,bukumu ine meda,"buk mu di meja; buku-buku buku-buku-buku; nc lara ito - no, telah berhambura buku-bukunya"
buli-buli,dubur,- no pueno mohakh dapur neneknya sakit,
moia,bunggu terbelakang,motauno - mbuupuu,kepandaiannya sangat terbelakang
pobunggu-bunggui,membelakangi,iamo - o hulo,jangan kau membelakangi lampu
bunggu,punggung,- no i ani mohaki,punggung Ani sakit
"buri, moburi",menulis,inaku toori-,saya pintar menulis
uroto,nyamuk,i ali mombepato -,Ali membunuh nyamuk
yurua,peti,inggoo umalei o doi ine-,engkau mengambil uang dari peti
urua,"""doi brangkas (lemari besi)",paraluui inggito niino topoli -,kita ini perlu membeli brankas
urulae,sejenis lengkuas,tabaano nololoso'i nggiro'o o osu keno kali ikee -,kecuali kalau tembus gunung itu di lempar dengan burulae (sejenis lengkuas)
"usi, o busi",katak,dadio - i galu,banyak katak di sawah
"usu, mobusu",mencuri,no onggo lako -,dia akan pergi mencuri
"usungge, mebusungge",mendorong,inae - haino,siapa yang mendorong adiknya?
"putu, sabutuno",seketika,- tina E Dowo laalaa mobaa nggo tudu n,
anopodadasi,agar dia cepat,gute' eninggee - keno mesosori,"katakanlah kepadanya agar dia cepat, di anopodadasi dia cepat-cepat; -peruru, dia cepat-cepat turun"
dadiki,menjadi,ano - notoro me' j ambo toono ronga mbera kadadi,dan orang-orang serta semua binatang menjadi hidup baik; kadadia kejadian
ahu,anjing,mewalo'ako - no,gemuk sekali anjingnya
medaka,bersisir,ku ki'io laa -,s lihat sedang bersisir
dalima,delima,iee mombupu memetik delima,
dalu,"benci, musuh",ku - i hae saya benci dia,"pedalu yang dibenci, i batulu amano, Batulu yang dibenci « ayahnya"
nde,"ring mengerjakan sesuatu, dumamai kerjakan",inggami r - kami akan kerjakan,
dambu,jambu,inaku tumilaki kita,saya mengupas jambu di
dandi,janji,te'embe - ndo inipia,
"radio, saya sedang","mendengar radio, pombodea mendengar",laa'ito lumako ano - toono laa umusa,"sementara berjalan dia mendengar ada orang menumbuk; podeai didengar, ano - o datu, dan didengar raja"
aipodea,supaya didengar,- mbera ata'akonggo,supaya didengar semua budak saya
akupodeai,supaya saya dengarkan,sau-sauru'ikeitoto - ceritakanlah supaya saya dengarkan,
dedendesa,"gemuruh, bergerak",- i komonggo ruo,gemuruh yang kedua kali
dee,seperti,- kaasaru tai mbendungguki,seperti saja mereka tidak sampai
deela,kasihan,- motuono nggiro'o to'ono,"kasihan, tuanya orang itu!"
"dene, medene",berwudu,laa - no onggo sambahea,sementara ia pergi berwudu untuk sembahyang
desa,desa,dadio ito to'ono laa nggo mbeleu mbeindo i kandoro -,sudah banyak orang yang akan datang bekerja di kantor desa
lgimba,tambur,meambo ako iano,
"diu, mediu",(ako) mundur,lakonoto lakonoto - bunggu umalei babuno,lalu dia mundur ke belakang mengambil bajunya
doa,doa,mongoni - salama,mohon doa selamat
mododa,menyiak,ia laa lako dia sedang pergi menyiak,
"dodaso, dodasokee tekan",(menekan),- ano pewiso'i luwuako,tekan supaya masuk semuanya
"dokowi, mendokowi",menutup,i bio - ako kasoro,Bio menutup diri dengar kasur
"dola, meodola melihat",lewat celah,no - i lomba-lomba,dia melihat lewat celah jendela
"dome, medome main",domino,arino moinu o kopi -,"sesudah minum kopi, dia main domino"
dopi,papan,pewuangge nggituo welo,buang papan bengkok itu!
dori,gores,no - 'o rui ne kaeno,dia (tangannya) kena goresan duri
doroo,drum,hende - o wiseno,se-
"dosa, anopedosorio dan",tekan,nope' indiri'ito -,sudah dia pegang dan tekan
dowiawi,belibis,- nggiro'o lumaa meita,burung belibis terbang tinggi
dowo,sendiri,laa moi'a -,dia tinggal sendiri
dua,nama buah sejenis pinang,laa lako mepolaha wua -,sedang pergi mencari buah dua
"dulumbendua, dhlumbendui berbaik","ulang, rujuk",maa auki -,"walimu, nanti kamu rujuk dengan istrimu"
dumulu'i,persatukan,iamo - owoowose ronga memegewu,jangan persatukan yang besar dengan yang kecil
dunggu,sampai,lealaa ieto ano - i mumuno,dia benar sampai di puncaknya
pedunggu,sampai,laalaa ieto pelakotu'uro aro - pende'eningge orokole,"itulah sebabnya, mereka jalan terus dan mereka sampai memberitahukan raja"
"dupa, odupa",kemenyan,pondumu keito -,bakarkan kita kemenyan
duria,durian,- inolino i ina,durian dibeli ibu
ehe,mau,kioki ku - lako,saya t dak mau pergi
poehe,kemauan,u kono'ikee to mamamu,kau sudah terpengaru akan kemauan ayahmu
eheano,biar,- morunggo asala m ambo,biar mahal asal baik
eme,kencing,hainggu te - i rapi adikku kencing di kamar -,
anoene,lalu pergi,lakonoto we'ikee sisi wulaa - dia berikan cicin emas lalu pergi,
anoene,dia pergi,- poindi'i i Watandiabe,dia pergi memegang Watandiabe
ene,naik,no - nggo mowate orembu,dia ke sana untuk memaras rumput
"enda, me'ende",mamanjat,keheero taipa mereka tidak memanjat mangga,
"ende, me'ende",panjat,laa- kaluku,sementara panjat kelapa
enge,hidung,- no sarapunggu mendadi dahu,hidung pacarku mancung sekali
"engge, meengge","cakap, gagah, cantik",- ako nggiro'o anandonia,anak muda itu gagah
engu-engu,manja,- lau-lau neino ana dalo,anak ini manja sekali
enindono,yang disayang,nibubungguino ona -,ditinggalkannya anak yang disayang
eno-eno,kalung,- wulaa iee me - pinoko mbeeno-enoako obunga,"kalung emas, ia berkalung dikalungi bunga"
"epi, moepi",bermimpi,i bio - i wingi,Bio bermimpi tadi malam
epo,masih,o tolu hanunggu,masih ada tiga milikku '
epu,minyak,mololesi onggo niowairo -,mengupas kelapa mau dibuat minyak
"ero, moera-eroi",bercakap-cakap,iamoto - i kitu,janganlah bercakap-cakap di situ
eroi,suara,- no mopeho,suaranya parau
esi,"kecil, sedikit",- ni'o laa kinaakkanggu kenonesiuki,baru sepotong kecil yang sedang saya makan sekiranya manis
etai,ikut,dadio to'ono - lako mbeindio,banyak orang ikut pergi bekerja
atai,tekura belasungkawa,pombokonduu etai masusa tamano -,pernyataan ikut berduka cita namanya belasungkawa
"eto, me'eto",hitam,tawa nagga -,
gade,"jajan, kue",dadio o - pineoliako i wiwi sala,banyak jajan dijual di pinggir jalan
gadi,gaji,dadio - no,"banyak gajinya, mangadi mengaji, kiningginiwia au leu ato lako - sore nanti kamu datang, kita pergi mengaji"
"gaga, megaga",berkelahi,i bio ronga i batulu -,Bio dan Batulu berkelahi
pegaga,berkelahi,no - dia berkelahi,
galamba,anjungan,- no laika nggiro'o meato see,anjungan rumah itu beratapkan seng
"galihi, aroponggalihika mereka",menggalikan tanah,- aro'alee paho'i,mereka menggalikan tanah kemudian mereka tanam
gande,bonceng,- i haimu lako i si-,
garagadi,gergaji,kikiri i - nggiro'o ano meambo,kikir gergaji itu baik-baik
garisi,garis,ne -,di garis
"gele, gele-gele",geli-geli,no - aku banggonanggu,temanku geli-gel saja
"geru, nigeru",digaruk,keno arito nira kala anomba -,kalau sudah di bajak baru digaruk
"gogara, gumogara",berteriak,iamo keni,jangan berteriak di sini
golo-golo,badik,- no nonasi i lolu nggasoro,badiknya disimpan di
gondi,gunting,- nggu,"guntingku, mogondi menggunting, - teratasi, menggunting kertas"
"gondi, gumondi",menguncingnya,no poindii bondalano lakonoto -,dia memegang petinya kemudian menguncinya
"gora, gumora",berteriak,iamo - dadio toono,jangan berteriak banyak orang
gumba,tempayan,peihio nggiro'o iwoi,isi air tempayan itu
ha,hai,-,"inaeto sumua'i, hai, siapa yang dapat?"
haahaa,pelan-pelan,- poindi iamo ano mosaa,pelan-pelan kaupegang jangan sampai rusak -
tinahada,monyet betina,ari leu habis datang monyet betina,
hada,peiku beruk,-- nggiro'o pindara sawutuu momona,beruk itu pintar sekali memanjat
hae,lalu,lakonoto - pesaki ne pondimbano,lalu mereka pindah ke tempat timbangan
"hai, mohai","terbakar, kebakaran",i tomba homa lahano -,tempat kebakaran di pinggir hutan
"hala, o hala",hutang,luwuako nggo powadano -,semuanya untuk
hanggari,hanya,- kiniino tinesiloi lahuene nggulelo tahi moledoledc dia hanya melihat langit bergc ynag-goyang di dalam laut,
hanggari,sembarang,- ano peul mbele'esu,sembarang yang ma naik lebih dahulu
hanggarikaa,sembarangan,- laha mu numai,sembarangan tempat mu menyimpan
hanoto,biar,- kaa ano umiia anadc,
"hanuo, humanuo",mengganggu,i be tulu - i bio,Batulu menggangg Bio
hasuruano,kebinasaan,- opea i galu kadania inaso wula,kebinasaan padi di sawah terjadi bulan lalu
an,anotehawariosura untunglah dia teringat,- ono mesebiekeei pisono i'une baki,"untunglah dia teringat mengambil pisaunya dari dalam keranjang; anotepehawakirio dia teringa; - lalonggalukono i wonua mbimiki, dia teringat kebun kelapanya di kapung Mbomiki"
hawo,apa,tokaa laa niowainu autalako mesikola,apa saja yang kamu buat sehingga tidak pergi bersekokah
hawoe,mengapa,- au taa lako kumabi,mengapa kau tidak pergi memancing
"lhawu, mohawu",menabur,toono nggiro'o - wua ndainahu,orang itu menabur benih sayuran
pehawunggee,menaburkan,iamo - kee hanuno toono,jangan menaburkan barangnya orang
"hawu, humawui",mengganggu,iamo - haimu,jangan mengganggu adikmu
he,hai,- humbei nggo lakoamu,"hei, ke mana kau akan pergi"
heera,heran,ihiro - mbupu'u i hawi,mereka heran sekali kemarin
hei,ya,- kaasi iamo humanu aku,ya kasihan jangan suka mengganggu saya
lhende,agak,ihiro - mokohanu sumarui,mereka agak malu mengatakannya
hende,"seperti, sama",ano laa - ni' ino mendaa no lumele,yang menjalar ini sama panjang
anohende,seperti,-akotoka galapu apimu,seperti terlalu berasap apimu
hande-hendeno,rupa-rupanya,nggo tudu o usa,rupa-rupanya akan turun hujan
hendeino,sekarang,no laa leu hae -,dia datang lagi sekarang
"herai, humarei",dikupas,lakonoto pt pu'i ano'amba -,lalu dipetil kemudian di kupas
